Date	Price	Open	High	Low	Vol.	Change %	MA7	MA21	EMA	High-Low	Price-Open
2020-03-02	8904.8	8537.5	8961.8	8503.1	1020000.0	4.27	8803.157142857142	9552.12380952381	9142.156904532188	458.6999999999989	367.2999999999993
2020-03-03	8761.4	8906.1	8911.7	8669.3	1010000.0	-1.61	8723.757142857143	9482.214285714286	9091.38931726123	242.40000000000146	-144.70000000000073
2020-03-04	8757.9	8761.3	8840.3	8679.7	759690.0	-0.04	8717.699999999999	9407.938095238096	9046.924074959732	160.59999999999854	-3.399999999999636
2020-03-05	9060.3	8757.9	9147.3	8751.5	950760.0	3.45	8752.228571428572	9351.995238095238	9048.707531631768	395.7999999999993	302.39999999999964
2020-03-06	9134.8	9060.6	9165.2	9004.9	1040000.0	0.82	8814.699999999999	9294.938095238094	9060.186527414198	160.3000000000011	74.19999999999891
2020-03-07	8887.8	9134.2	9180.8	8848.7	750650.0	-2.7	8863.857142857143	9246.371428571429	9037.201657092306	332.09999999999854	-246.40000000000146
2020-03-08	8034.1	8887.8	8888.0	8015.3	1110000.0	-9.61	8791.585714285715	9155.980952380953	8903.454769479999	872.6999999999998	-853.6999999999989
2020-03-09	7933.0	8035.8	8158.8	7648.7	1540000.0	-1.26	8652.757142857143	9071.771428571428	8774.060800215999	510.10000000000036	-102.80000000000018
2020-03-10	7891.2	7933.0	8145.5	7740.2	1200000.0	-0.53	8528.442857142856	8963.809523809523	8656.346026853866	405.3000000000002	-41.80000000000018
2020-03-11	7935.1	7892.1	7976.5	7606.0	1100000.0	0.56	8410.9	8884.080952380953	8560.179889940016	370.5	43.0
2020-03-12	4826.0	7935.2	7963.1	4546.6	3220000.0	-39.18	7806.0	8656.633333333333	8062.2892379480145	3416.5	-3109.2
2020-03-13	5584.3	4815.2	5934.3	3869.5	4170000.0	15.71	7298.785714285715	8461.385714285712	7731.890672888279	2064.8	769.1000000000004
2020-03-14	5182.7	5589.4	5634.9	5072.2	1690000.0	-7.19	6769.4857142857145	8248.385714285714	7391.998583169842	562.6999999999998	-406.6999999999998
2020-03-15	5366.3	5182.9	5863.3	5120.6	1610000.0	3.54	6388.3714285714295	8030.4619047619035	7121.905438747197	742.6999999999998	183.40000000000055
2020-03-16	5030.0	5366.4	5369.3	4477.7	2550000.0	-6.27	5973.657142857143	7809.857142857143	6842.984713580904	891.6000000000004	-336.39999999999964
2020-03-17	5261.1	5030.2	5432.8	4946.5	1890000.0	4.59	5597.928571428572	7616.7095238095235	6632.066751770117	486.3000000000002	230.90000000000055
